Source_ID,Target_ID,Relationship,Weight,Shape
604,606,Trayectoria probable,0.5,cambiante
605,606,Trayectoria probable,0.5,cambiante
607,608,Trayectoria probable,0.5,cambiante
608,609,Trayectoria probable,0.5,cambiante
608,610,Trayectoria probable,0.5,cambiante
609,610,Trayectoria probable / Contexto estratégico,0.8,cambiante
609,611,Trayectoria probable,0.5,cambiante
609,612,Trayectoria probable,0.5,cambiante
609,627,Contexto estratégico,0.3,cambiante
609,649,Contexto estratégico,0.3,cambiante
609,682,Contexto estratégico,0.3,cambiante
609,690,Contexto estratégico,0.3,cambiante
609,700,Contexto estratégico,0.3,cambiante
610,611,Trayectoria probable,0.5,cambiante
610,612,Trayectoria probable,0.5,cambiante
610,627,Contexto estratégico,0.3,cambiante
610,649,Contexto estratégico,0.3,cambiante
610,682,Contexto estratégico,0.3,cambiante
610,690,Contexto estratégico,0.3,cambiante
610,700,Contexto estratégico,0.3,cambiante
611,612,Trayectoria probable,0.5,cambiante
612,613,Trayectoria probable,0.5,cambiante
613,614,Trayectoria probable,0.5,cambiante
615,616,Trayectoria probable,0.5,cambiante
616,617,Trayectoria probable,0.5,cambiante
616,618,Trayectoria probable,0.5,cambiante
616,619,Trayectoria probable,0.5,cambiante
616,620,Trayectoria probable,0.5,cambiante
616,621,Trayectoria probable,0.5,cambiante
616,622,Trayectoria probable,0.5,cambiante
617,618,Trayectoria probable,0.5,cambiante
617,619,Trayectoria probable,0.5,cambiante
617,620,Trayectoria probable,0.5,cambiante
617,621,Trayectoria probable,0.5,cambiante
617,622,Trayectoria probable,0.5,cambiante
618,619,Trayectoria probable,0.5,cambiante
618,620,Trayectoria probable,0.5,cambiante
618,621,Trayectoria probable,0.5,cambiante
618,622,Trayectoria probable,0.5,cambiante
619,620,Trayectoria probable,0.5,cambiante
619,621,Trayectoria probable,0.5,cambiante
619,622,Trayectoria probable,0.5,cambiante
620,621,Trayectoria probable,0.5,cambiante
620,622,Trayectoria probable,0.5,cambiante
621,622,Trayectoria probable,0.5,cambiante
623,624,Trayectoria probable,0.5,cambiante
627,628,Trayectoria probable,0.5,cambiante
627,629,Trayectoria probable,0.5,cambiante
627,649,Contexto estratégico,0.3,cambiante
627,682,Contexto estratégico,0.3,cambiante
627,690,Contexto estratégico,0.3,cambiante
627,700,Contexto estratégico,0.3,cambiante
628,629,Trayectoria probable,0.5,cambiante
638,639,Trayectoria probable,0.5,cambiante
641,642,Trayectoria probable,0.5,cambiante
641,643,Trayectoria probable,0.5,cambiante
641,644,Trayectoria probable,0.5,cambiante
641,645,Trayectoria probable,0.5,cambiante
641,646,Trayectoria probable,0.5,cambiante
642,643,Trayectoria probable,0.5,cambiante
642,644,Trayectoria probable,0.5,cambiante
642,645,Trayectoria probable,0.5,cambiante
642,646,Trayectoria probable,0.5,cambiante
643,644,Trayectoria probable,0.5,cambiante
643,645,Trayectoria probable,0.5,cambiante
643,646,Trayectoria probable,0.5,cambiante
643,647,Trayectoria probable,0.5,cambiante
644,645,Trayectoria probable,0.5,cambiante
644,646,Trayectoria probable,0.5,cambiante
644,647,Trayectoria probable,0.5,cambiante
645,646,Trayectoria probable,0.5,cambiante
645,647,Trayectoria probable,0.5,cambiante
646,647,Trayectoria probable,0.5,cambiante
649,650,Trayectoria probable,0.5,cambiante
649,651,Trayectoria probable,0.5,cambiante
649,682,Contexto estratégico,0.3,cambiante
649,690,Contexto estratégico,0.3,cambiante
649,700,Contexto estratégico,0.3,cambiante
650,651,Trayectoria probable,0.5,cambiante
670,671,Trayectoria probable,0.5,cambiante
671,672,Trayectoria probable,0.5,cambiante
671,673,Trayectoria probable,0.5,cambiante
672,673,Trayectoria probable,0.5,cambiante
672,674,Trayectoria probable,0.5,cambiante
672,675,Trayectoria probable,0.5,cambiante
672,676,Trayectoria probable,0.5,cambiante
673,674,Trayectoria probable,0.5,cambiante
673,675,Trayectoria probable,0.5,cambiante
673,676,Trayectoria probable,0.5,cambiante
674,675,Trayectoria probable,0.5,cambiante
674,676,Trayectoria probable,0.5,cambiante
